id,Tournament Name,Date,Placement,Start Placement,End Placement,Tier,Team,Opposing Team,Score,Opposing Score,Earnings
.Ark,World Cyber Arena 2017,2018-04-30,3rd,3.0,,Minor,Planet Dog,FATE eSports,2,1,7895
.Ark,FACEIT Pro League - Europe: March 2018,2018-03-31,1st,1.0,,Monthly,,,,,2000
.Ark,ESL One Genting 2018,2018-01-24,13 - 16th,13.0,16.0,Major,PENTA Sports,Evil Geniuses,1,2,2000
.Ark,FACEIT Pro League - Europe: December 2017,2017-12-31,2nd,2.0,,Monthly,,,,,1000
.Ark,joinDOTA League Season 11 Europe,2017-12-15,1st,1.0,,Minor,PENTA Sports,Team Doggie,3,0,2000
.Ark,FACEIT Pro League - Europe: November 2017,2017-11-30,5th,5.0,,Monthly,,,,,400
.Ark,Dota 2 Champions League Season 13,2017-09-30,1st,1.0,,Minor,Spartak Esports,Elements Pro Gaming,2,0,2500
.Ark,ProDotA Cup Europe #18,2017-05-12,9 - 12th,9.0,12.0,Minor,Underdogs,Meow 111,0,1,0
.Ark,Mr. Cat Invitational Europe,2017-05-08,7 - 8th,7.0,8.0,Major,Chip+4,Team Empire,0,2,0
.Ark,ProDotA Cup Europe #17,2017-04-17,4th,4.0,,Minor,Comanche,Let's Do It,1,2,0
.Ark,ProDotA Cup Europe #16,2017-03-19,13 - 16th,13.0,16.0,Minor,Comanche,Digital Company,-,W,0
.Ark,Dota 2 Champions League Season 10,2017-02-14,9 - 16th,9.0,16.0,Minor,Comanche,Ninjas in Pyjamas,0,1,0
.Ark,Swift Forward Cup Winter 2017,2017-01-29,1st,1.0,,Minor,Comanche,The puck Reborn,3,2,1250
.Ark,StarLadder ProSeries Season 11,2015-01-10,5 - 6th,5.0,6.0,Minor,DoverieT,ScaryFaceZ,0,2,0
.Ark,GIGABYTE Challenge #11,2014-12-10,3 - 4th,3.0,4.0,Monthly,DoverieT,Balkan Bears,0,1,0
13abyKnight,WESG 2017 Europe Finals,2017-11-23,13 - 16th,13.0,16.0,Minor,Danish Dynamite,,,,0
13abyKnight,ProDotA Cup Europe #19,2017-06-16,9 - 12th,9.0,12.0,Minor,Crescendo,4 protect five,0,1,0
13abyKnight,Mr. Cat Invitational Europe,2017-05-05,9 - 10th,9.0,10.0,Major,Cloud9,Team Empire,0,2,0
13abyKnight,OverPower Cup #1,2017-03-26,3rd,3.0,,Minor,Cloud9,Ninjas in Pyjamas,2,1,500
13abyKnight,ProDotA Cup Europe #16,2017-03-25,5 - 6th,5.0,6.0,Minor,Cloud9,F.R.I.E.N.D.S.,-,W,0
